NUMERO,FECHA,PROVEEDOR,NOMBRE,ENVASE,CANTIDAD,ORIGEN,DESTINO,MFL,MOVIMIENTO,FVO
0000-00000066-A,2025-01-07 15:01:30,30266.0,MANANTIAL MODERNO SRL,JVR ,66.0,  30266,Z3A    ,XX,entrada,2025-01-07 13:41:06
0000-00000076-A,2025-01-08 10:00:44,40069.0,ALVAREZ MARCELO,JVR ,15.0,  40293,Z3A    ,XX,entrada,2025-01-08 13:05:53
0000-00000077-A,2025-01-08 10:02:54,40069.0,ALVAREZ MARCELO,JVR ,9.0,  40293,Z3A    ,XX,entrada,2025-01-08 13:08:58
0000-00000077-A,2025-01-08 10:02:54,12421.0,LUNA REAL HNOS.,JVR ,5.0,  41445,Z19B   ,XX,entrada,2025-01-08 12:26:07
0000-00000077-A,2025-01-08 10:02:54,12421.0,LUNA REAL HNOS.,JVR ,2.0,  41445,Z3A    ,XX,entrada,2025-01-08 07:42:29
0000-00000078-A,2025-01-08 10:16:14,40098.0,BOSQUE CENTRAL Y CIA,JVR ,17.0,  40388,Z3A    ,XX,entrada,2025-01-09 06:47:21
0000-00000084-A,2025-01-08 12:35:59,30837.0,QUIROGA HERNAN LUCAS,JVR ,24.0,  30837,Z3A    ,XX,entrada,2025-01-09 06:47:21
0000-00000085-A,2025-01-08 12:37:08,30885.0,RINCON ORGANICO HNOS.,JVR ,37.0,  30885,Z19B   ,XX,entrada,2025-01-08 13:05:53
0000-00000085-A,2025-01-08 12:37:08,30885.0,RINCON ORGANICO HNOS.,JVR ,23.0,  30885,Z3A    ,XX,entrada,2025-01-10 06:16:27
0000-00000099-A,2025-01-08 17:52:27,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,45.0,  30051,Z19B   ,XX,entrada,2025-01-10 06:13:15
0000-00000099-A,2025-01-08 17:52:27,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,18.0,  30051,Z3A    ,XX,entrada,2025-01-10 06:13:15
0000-00000110-A,2025-01-09 09:57:59,30009.0,BOSQUE PRINCIPAL HNOS.,JVR ,11.0,  30009,Z3A    ,XX,entrada,2025-01-10 12:47:11
0000-00000112-A,2025-01-09 10:11:40,13450.0,RAMIREZ FELIX CRISTIAN,JVR ,36.0,  41014,Z3A    ,XX,entrada,2025-01-10 06:16:27
0000-00000115-A,2025-01-09 10:26:38,30266.0,MANANTIAL MODERNO SRL,JVR ,34.0,  30266,ZJR    ,XX,entrada,2025-03-30 00:53:29
0000-00000115-A,2025-01-09 10:26:38,31128.0,LAGO PATAGONICO E HIJOS,JVR ,16.0,  41467,Z3B    ,XX,entrada,2025-01-21 22:30:00
0000-00000117-A,2025-01-09 10:46:02,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,64.0,  30051,Z3A    ,XX,entrada,2025-01-10 14:59:04
0000-00000115-A,2025-01-09 10:26:38,31128.0,LAGO PATAGONICO E HIJOS,JVR ,21.0,  41467,Z3A    ,XX,entrada,2025-01-21 20:33:31
0000-00000118-A,2025-01-09 11:42:07,30137.0,JIMENEZ SANTIAGO CRISTIAN,JVR ,1.0,  30137,Z3A    ,XX,entrada,2025-01-11 06:26:54
0000-00000118-A,2025-01-09 11:42:07,30137.0,JIMENEZ SANTIAGO CRISTIAN,JVR ,8.0,  30137,Z3B    ,XX,entrada,2025-01-10 06:13:15
0000-00000119-A,2025-01-09 11:56:56,40069.0,ALVAREZ MARCELO,JVR ,24.0,  40293,Z3A    ,XX,entrada,2025-01-10 06:16:27
0000-00000120-A,2025-01-09 15:07:17,30868.0,RINCON SILVESTRE S.R.L.,JVR ,72.0,  40381,Z3C    ,XX,entrada,1024-07-29 14:00:00
0000-00000123-A,2025-01-09 17:11:37,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,65.0,  30051,Z3C    ,XX,entrada,2025-01-11 06:28:23
0000-00000125-A,2025-01-09 17:51:57,40098.0,BOSQUE CENTRAL Y CIA,JVR ,11.0,  40388,Z3A    ,XX,entrada,2025-01-10 06:13:15
0000-00000125-A,2025-01-09 17:51:57,40098.0,BOSQUE CENTRAL Y CIA,JVR ,1.0,  40388,Z16B   ,XX,entrada,2025-01-10 06:13:15
0000-00000125-A,2025-01-09 17:51:57,40098.0,BOSQUE CENTRAL Y CIA,JVR ,1.0,  40388,ZJR    ,XX,entrada,2025-03-30 00:53:29
0000-00000137-A,2025-01-10 08:43:16,30982.0,LARGO MODERNO HNOS.,JVR ,41.0,  40450,Z3A    ,XX,entrada,2025-01-10 12:47:11
0000-00000137-A,2025-01-10 08:43:16,30982.0,LARGO MODERNO HNOS.,JVR ,2.0,  40450,Z19B   ,XX,entrada,2025-01-10 14:57:17
0000-00000140-A,2025-01-10 09:30:21,40069.0,ALVAREZ MARCELO,JVR ,24.0,  40293,Z3A    ,XX,entrada,2025-01-22 08:22:42
0000-00000143-A,2025-01-10 09:43:46,30198.0,AURORA FEDERAL HNOS.,JVR ,19.0,  41029,Z19B   ,XX,entrada,2025-01-11 06:26:54
0000-00000145-A,2025-01-10 10:55:46,31250.0,TORRENTE PRINCIPAL SAS,JVR ,18.0,  30335,Z19B   ,XX,entrada,2025-01-10 15:02:51
0000-00000146-A,2025-01-10 11:00:53,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,75.0,  30051,Z3D    ,XX,entrada,2025-01-21 20:49:06
0000-00000150-A,2025-01-10 11:53:56,13450.0,RAMIREZ FELIX CRISTIAN,JVR ,23.0,  41014,Z3D    ,XX,entrada,2025-01-13 08:00:45
0000-00000150-A,2025-01-10 11:53:56,13450.0,RAMIREZ FELIX CRISTIAN,JVR ,3.0,  41014,Z19B   ,XX,entrada,2025-01-10 15:02:51
0000-00000152-A,2025-01-10 14:41:48,30868.0,RINCON SILVESTRE S.R.L.,JVR ,7.0,  40381,Z3D    ,XX,entrada,2025-01-10 14:57:17
0000-00000158-A,2025-01-10 15:23:07,12421.0,LUNA REAL HNOS.,JVR ,17.0,  30469,Z19B   ,XX,entrada,2025-01-10 15:02:51
0000-00000163-A,2025-01-10 16:07:22,30066.0,BAJO FEDERAL HNOS.,JVR ,19.0,  30066,Z19B   ,XX,entrada,2025-01-10 14:57:17
0000-00000167-A,2025-01-10 17:07:44,30427.0,LADERA HORTICOLA Y CIA,JVR ,26.0,  41307,Z19B   ,XX,entrada,2025-01-10 14:57:17
0000-00000169-A,2025-01-10 17:11:58,30427.0,LADERA HORTICOLA Y CIA,JVR ,3.0,  41307,Z3A    ,XX,entrada,2025-01-10 14:57:17
0000-00000169-A,2025-01-10 17:11:58,30427.0,LADERA HORTICOLA Y CIA,JVR ,20.0,  41307,Z19B   ,XX,entrada,2025-01-10 15:02:51
0000-00000143-A,2025-01-10 09:43:46,30198.0,AURORA FEDERAL HNOS.,JVR ,8.0,  41029,Z19B   ,XX,entrada,2025-01-11 06:26:54
0000-00000173-A,2025-01-10 18:23:43,31223.0,CASCADA FERTIL S.A.,JVR ,2.0,  40817,Z19B   ,XX,entrada,2025-01-11 06:26:54
0000-00000173-A,2025-01-10 18:23:43,31223.0,CASCADA FERTIL S.A.,JVR ,13.0,  40167,Z19B   ,XX,entrada,2025-01-11 06:26:54
0000-00000182-A,2025-01-11 09:31:33,12421.0,LUNA REAL HNOS.,JVR ,31.0,  30469,ZL11   ,XX,entrada,2025-01-22 20:04:46
0000-00000187-A,2025-01-11 10:17:24,30885.0,RINCON ORGANICO HNOS.,JVR ,10.0,  30885,Z19B   ,XX,entrada,2025-01-13 08:00:45
0000-00000187-A,2025-01-11 10:17:24,30885.0,RINCON ORGANICO HNOS.,JVR ,32.0,  30885,Z3A    ,XX,entrada,2025-01-11 10:49:49
0000-00000189-A,2025-01-11 10:49:33,40081.0,ARENA AGROPECUARIO HNOS.,JVR ,11.0,  41083,Z19B   ,XX,entrada,2025-01-13 08:00:45
0000-00000189-A,2025-01-11 10:49:33,40081.0,ARENA AGROPECUARIO HNOS.,JVR ,38.0,  41083,Z3C    ,XX,entrada,2025-01-14 06:06:30
0000-00000189-A,2025-01-11 10:49:33,40081.0,ARENA AGROPECUARIO HNOS.,JVR ,13.0,  41083,Z3A    ,XX,entrada,2025-01-22 08:22:42
0000-00000189-A,2025-01-11 10:49:33,40081.0,ARENA AGROPECUARIO HNOS.,JVR ,2.0,  41083,ZJR    ,XX,entrada,2025-03-30 00:53:29
0000-00000193-A,2025-01-11 11:23:00,12421.0,LUNA REAL HNOS.,JVR ,17.0,  30469,ZL11   ,XX,entrada,2025-01-22 20:04:46
0000-00000195-A,2025-01-11 11:41:29,30868.0,RINCON SILVESTRE S.R.L.,JVR ,1.0,  40381,Z3E    ,XX,entrada,2025-01-11 10:49:49
0000-00000198-A,2025-01-11 11:49:26,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,54.0,  30051,Z3C    ,XX,entrada,2025-01-13 08:13:01
0000-00000199-A,2025-01-11 12:12:53,40069.0,ALVAREZ MARCELO,JVR ,24.0,  40751,ZL06   ,XX,entrada,2025-01-21 17:40:07
0000-00000216-A,2025-01-13 10:14:41,30427.0,LADERA HORTICOLA Y CIA,JVR ,10.0,  41307,Z19B   ,XX,entrada,2025-01-14 06:02:32
0000-00000219-A,2025-01-13 11:11:40,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,47.0,  30051,Z19B   ,XX,entrada,2025-01-14 06:02:32
0000-00000219-A,2025-01-13 11:11:40,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,21.0,  30051,Z3B    ,XX,entrada,2025-01-20 10:56:36
0000-00000221-A,2025-01-13 11:54:38,31088.0,CABRERA CLAUDIO,JVR ,16.0,  40454,Z19B   ,XX,entrada,2025-01-14 06:02:32
0000-00000223-A,2025-01-13 12:08:16,31096.0,SENDERO MAYOR SAS,JVR ,14.0,  41300,Z19B   ,XX,entrada,2025-01-14 06:02:32
0000-00000226-A,2025-01-13 14:54:32,31301.0,LOPEZ SERGIO MARTIN,JVR ,30.0,  30779,Z19B   ,XX,entrada,2025-01-14 06:02:32
0000-00000233-A,2025-01-13 15:56:34,30198.0,AURORA FEDERAL HNOS.,JVR ,31.0,  41029,Z19C   ,XX,entrada,2025-01-14 06:02:32
0000-00000235-A,2025-01-13 16:06:35,30066.0,BAJO FEDERAL HNOS.,JVR ,29.0,  30066,Z19B   ,XX,entrada,2025-01-14 06:02:32
0000-00000237-A,2025-01-13 16:11:03,35041.0,PRADO FRUTICOLA S.R.L.,JVR ,2.0,  30569,ZL10   ,XX,entrada,2025-01-21 14:35:56
0000-00000237-A,2025-01-13 16:11:03,30292.0,GRAN PRODUCTIVO S.R.L.,JVR ,23.0,  41320,Z3B    ,XX,entrada,2025-01-14 06:06:30
0000-00000237-A,2025-01-13 16:11:03,30292.0,GRAN PRODUCTIVO S.R.L.,JVR ,2.0,  41320,Z19B   ,XX,entrada,2025-01-14 06:02:32
0000-00000246-A,2025-01-14 07:37:34,31342.0,TROPICO REGIONAL S.A.,JVR ,25.0,  41576,Z19B   ,XX,entrada,2025-01-14 06:02:32
0000-00000251-A,2025-01-14 08:19:48,30438.0,PAEZ FABIAN MARCOS,JVR ,4.0,  41601,ZL11   ,XX,entrada,2025-01-22 20:04:46
0000-00000251-A,2025-01-14 08:19:48,30438.0,PAEZ FABIAN MARCOS,JVR ,30.0,  41601,Z3A    ,XX,entrada,2025-01-22 08:22:42
0000-00000251-A,2025-01-14 08:19:48,30438.0,PAEZ FABIAN MARCOS,JVR ,8.0,  41601,Z19B   ,XX,entrada,2025-01-15 06:17:28
0000-00000255-A,2025-01-14 09:15:08,12421.0,LUNA REAL HNOS.,JVR ,54.0,  41575,Z19B   ,XX,entrada,2025-01-24 06:30:00
0000-00000260-A,2025-01-14 10:01:57,30266.0,MANANTIAL MODERNO SRL,JVR ,34.0,  30266,ZLV2   ,XX,entrada,2025-02-04 09:45:47
0000-00000260-A,2025-01-14 10:01:57,30266.0,MANANTIAL MODERNO SRL,JVR ,33.0,  30266,ZLV2   ,XX,entrada,2025-02-04 09:45:47
0000-00000233-A,2025-01-13 15:56:34,30198.0,AURORA FEDERAL HNOS.,JVR ,8.0,  41029,Z19C   ,XX,entrada,2025-01-14 06:02:32
0000-00000263-A,2025-01-14 11:37:46,30428.0,LLANO ORGANICO Y CIA,JVR ,24.0,  41295,Z19B   ,XX,entrada,2025-01-14 15:04:11
0000-00000267-A,2025-01-14 14:59:55,30868.0,RINCON SILVESTRE S.R.L.,JVR ,21.0,  40381,ZL10   ,XX,entrada,2025-01-22 22:14:38
0000-00000267-A,2025-01-14 14:59:55,30868.0,RINCON SILVESTRE S.R.L.,JVR ,13.0,  40381,Z19C   ,XX,entrada,2025-01-14 15:04:11
0000-00000271-A,2025-01-14 15:06:47,31342.0,TROPICO REGIONAL S.A.,JVR ,15.0,  41576,Z19C   ,XX,entrada,2025-01-15 06:17:28
0000-00000273-A,2025-01-14 15:47:37,30023.0,RAMOS RAMON,JVR ,4.0,  40099,Z19C   ,XX,entrada,2025-01-15 13:53:28
0000-00000278-A,2025-01-14 16:36:56,30066.0,BAJO FEDERAL HNOS.,JVR ,25.0,  30066,Z19C   ,XX,entrada,2025-01-15 06:17:28
0000-00000282-A,2025-01-14 17:03:07,30198.0,AURORA FEDERAL HNOS.,JVR ,8.0,  41029,Z19C   ,XX,entrada,2025-01-15 06:17:28
0000-00000294-A,2025-01-15 08:04:17,31383.0,HERRERA ANTONIO DANIEL,JVR ,27.0,  41509,Z19B   ,XX,entrada,2025-01-24 06:30:00
0000-00000294-A,2025-01-15 08:04:17,30438.0,PAEZ FABIAN MARCOS,JVR ,18.0,  41601,Z19B   ,XX,entrada,2025-01-15 13:53:28
0000-00000297-A,2025-01-15 08:11:48,40073.0,AZUL PRIMERO S.R.L.,JVR ,8.0,  40303,ZL10   ,XX,entrada,2025-01-22 22:14:38
0000-00000297-A,2025-01-15 08:11:48,35041.0,PRADO FRUTICOLA S.R.L.,JVR ,2.0,  30569,ZL10   ,XX,entrada,2025-01-22 22:14:38
0000-00000297-A,2025-01-15 08:11:48,30927.0,VARGAS TOMAS ANTONIO,JVR ,3.0,  41084,Z19B   ,XX,entrada,2025-01-15 13:53:28
0000-00000299-A,2025-01-15 08:17:31,30982.0,LARGO MODERNO HNOS.,JVR ,26.0,  40450,Z19B   ,XX,entrada,2025-01-24 06:30:00
0000-00000308-A,2025-01-15 09:18:10,30066.0,BAJO FEDERAL HNOS.,JVR ,36.0,  30066,Z19B   ,XX,entrada,2025-01-15 15:51:00
0000-00000311-A,2025-01-15 09:27:15,30951.0,MIRADOR REGIONAL SAS,JVR ,9.0,  30951,Z19B   ,XX,entrada,2025-01-15 13:53:28
0000-00000311-A,2025-01-15 09:27:15,20001.0,MESETA NATURAL Y CIA,JVR ,7.0,  20001,Z19B   ,XX,entrada,2025-01-15 13:53:28
0000-00000282-A,2025-01-14 17:03:07,30198.0,AURORA FEDERAL HNOS.,JVR ,29.0,  41029,Z19C   ,XX,entrada,2025-01-15 06:17:28
0000-00000318-A,2025-01-15 11:20:50,30427.0,LADERA HORTICOLA Y CIA,JVR ,56.0,  41307,Z19D   ,XX,entrada,2025-01-24 18:37:56
0000-00000323-A,2025-01-15 11:43:38,30428.0,LLANO ORGANICO Y CIA,JVR ,34.0,  41295,Z19D   ,XX,entrada,2025-01-15 13:55:43
0000-00000330-A,2025-01-15 15:00:13,30428.0,LLANO ORGANICO Y CIA,JVR ,64.0,  41295,Z19E   ,XX,entrada,2025-01-24 18:37:56
0000-00000333-A,2025-01-15 15:05:51,30066.0,BAJO FEDERAL HNOS.,JVR ,29.0,  30066,Z19B   ,XX,entrada,2025-01-15 15:51:03
0000-00000337-A,2025-01-15 15:12:36,31250.0,TORRENTE PRINCIPAL SAS,JVR ,25.0,  30335,Z19B   ,XX,entrada,2025-01-15 13:55:41
0000-00000339-A,2025-01-15 15:24:40,30796.0,PORTAL HORTICOLA HNOS.,JVR ,17.0,  40720,Z19C   ,XX,entrada,2025-01-15 13:53:28
0000-00000344-A,2025-01-15 16:22:45,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,16.0,  30051,ZL09   ,XX,entrada,2025-01-22 05:26:54
0000-00000344-A,2025-01-15 16:22:45,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,49.0,  30051,Z19D   ,XX,entrada,2025-01-24 18:37:56
0000-00000352-A,2025-01-15 16:58:48,30292.0,GRAN PRODUCTIVO S.R.L.,JVR ,24.0,  41320,ZL09   ,XX,entrada,2025-01-22 03:06:16
0000-00000358-A,2025-01-15 17:48:15,31126.0,VALLE REGIONAL SA,JVR ,10.0,  30465,Z19E   ,XX,entrada,2025-01-24 18:37:56
0000-00000358-A,2025-01-15 17:48:15,30198.0,AURORA FEDERAL HNOS.,JVR ,1.0,  41029,Z19E   ,XX,entrada,2025-01-24 18:37:56
0000-00000362-A,2025-01-15 18:48:37,30096.0,CUMBRE AGRARIO Y CIA,JVR ,73.0,  30096,Z19D   ,XX,entrada,2025-01-24 18:37:56
0000-00000362-A,2025-01-15 18:48:37,30096.0,CUMBRE AGRARIO Y CIA,JVR ,6.0,  30096,ZL09   ,XX,entrada,2025-01-22 03:06:16
0000-00000371-A,2025-01-16 15:08:11,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,70.0,  30051,ZL09   ,XX,entrada,2025-01-22 03:06:16
0000-00000375-A,2025-01-16 15:14:15,30428.0,LLANO ORGANICO Y CIA,JVR ,32.0,  41295,ZL06   ,XX,entrada,2025-01-25 01:00:00
0000-00000379-A,2025-01-16 15:18:51,30066.0,BAJO FEDERAL HNOS.,JVR ,22.0,  30066,Z5A    ,XX,entrada,2025-01-24 06:30:00
0000-00000381-A,2025-01-16 15:25:45,30428.0,LLANO ORGANICO Y CIA,JVR ,63.0,  41295,Z5A    ,XX,entrada,2025-01-24 06:30:00
0000-00000386-A,2025-01-16 15:46:57,30292.0,GRAN PRODUCTIVO S.R.L.,JVR ,37.0,  41320,ZL10   ,XX,entrada,2025-01-21 14:35:56
0000-00000389-A,2025-01-16 15:53:21,40081.0,ARENA AGROPECUARIO HNOS.,JVR ,20.0,  41083,Z5A    ,XX,entrada,2025-01-24 02:42:59
0000-00000389-A,2025-01-16 15:53:21,40081.0,ARENA AGROPECUARIO HNOS.,JVR ,11.0,  41083,ZL10   ,XX,entrada,2025-01-22 22:14:38
0000-00000389-A,2025-01-16 15:53:21,40081.0,ARENA AGROPECUARIO HNOS.,JVR ,30.0,  41083,Z12C   ,XX,entrada,2025-01-21 21:19:21
0000-00000391-A,2025-01-16 16:02:59,30427.0,LADERA HORTICOLA Y CIA,JVRE,81.0,  41323,Z13A   ,XX,entrada,2025-01-27 14:30:00
0000-00000392-A,2025-01-16 16:12:02,30066.0,BAJO FEDERAL HNOS.,JVR ,21.0,  30066,Z4E    ,XX,entrada,2025-01-30 00:48:31
0000-00000395-A,2025-01-16 16:21:11,30292.0,GRAN PRODUCTIVO S.R.L.,JVR ,4.0,  41320,Z5A    ,XX,entrada,2025-01-24 02:30:00
0000-00000395-A,2025-01-16 16:21:11,30292.0,GRAN PRODUCTIVO S.R.L.,JVR ,9.0,  41320,Z12C   ,XX,entrada,2025-01-21 21:19:21
0000-00000397-A,2025-01-16 16:25:37,30427.0,LADERA HORTICOLA Y CIA,JVR ,27.0,  41307,Z4E    ,XX,entrada,2025-01-30 00:48:31
0000-00000358-A,2025-01-15 17:48:15,30198.0,AURORA FEDERAL HNOS.,JVR ,9.0,  41029,Z19E   ,XX,entrada,2025-01-24 18:37:56
0000-00000405-A,2025-01-16 17:12:10,30063.0,BAJO AGROPECUARIO Y CIA,JVR ,66.0,  41438,Z4E    ,XX,entrada,2025-01-30 14:30:00
0000-00000408-A,2025-01-16 17:20:06,30427.0,LADERA HORTICOLA Y CIA,JVR ,38.0,  41307,Z4E    ,XX,entrada,2025-01-29 14:30:00
0000-00000414-A,2025-01-16 17:38:18,31096.0,SENDERO MAYOR SAS,JVR ,20.0,  41300,ZL12   ,XX,entrada,2025-01-23 02:32:17
0000-00000415-A,2025-01-16 17:43:13,30427.0,LADERA HORTICOLA Y CIA,JVR ,26.0,  41307,ZL12   ,XX,entrada,2025-01-23 02:32:17
0000-00000416-A,2025-01-16 17:47:27,30428.0,LLANO ORGANICO Y CIA,JVR ,16.0,  41295,ZL12   ,XX,entrada,2025-01-23 02:32:17
0000-00000416-A,2025-01-16 17:47:27,30428.0,LLANO ORGANICO Y CIA,JVR ,2.0,  41295,ZL09   ,XX,entrada,2025-01-22 05:26:54
0000-00000418-A,2025-01-16 18:21:28,30427.0,LADERA HORTICOLA Y CIA,JVR ,41.0,  41307,ZL06   ,XX,entrada,2025-01-25 05:30:12
0000-00000419-A,2025-01-16 18:24:13,40069.0,ALVAREZ MARCELO,JVR ,5.0,  40293,ZL06   ,XX,entrada,2025-01-25 05:30:12
0000-00000419-A,2025-01-16 18:24:13,40069.0,ALVAREZ MARCELO,JVR ,2.0,  40293,ZL09   ,XX,entrada,2025-01-22 03:06:16
0000-00000419-A,2025-01-16 18:24:13,12421.0,LUNA REAL HNOS.,JVR ,12.0,  41445,ZL06   ,XX,entrada,2025-01-24 03:00:00
0000-00000420-A,2025-01-16 18:28:13,30023.0,RAMOS RAMON,JVR ,17.0,  40099,ZL12   ,XX,entrada,2025-01-23 02:32:17
0000-00000429-A,2025-01-17 08:03:27,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,58.0,  30051,Z12C   ,XX,entrada,2025-01-21 21:19:21
0000-00000433-A,2025-01-17 08:12:05,30173.0,LARGO FERTIL SRL,JVR ,62.0,  41463,Z3B    ,XX,entrada,2025-01-21 21:19:21
0000-00000441-A,2025-01-17 09:33:03,20001.0,MESETA NATURAL Y CIA,JVR ,36.0,  20001,ZL12   ,XX,entrada,2025-01-23 02:32:17
0000-00000445-A,2025-01-17 10:12:34,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,64.0,  30051,Z3E    ,XX,entrada,2025-01-20 14:56:23
0000-00000449-A,2025-01-17 10:25:45,40115.0,QUIROGA PEDRO,JVR ,15.0,  40587,Z3E    ,XX,entrada,2025-01-20 14:56:23
0000-00000449-A,2025-01-17 10:25:45,40115.0,QUIROGA PEDRO,JVR ,57.0,  40587,Z4C    ,XX,entrada,2025-01-25 01:00:00
0000-00000453-A,2025-01-17 10:46:43,40378.0,RODRIGUEZ FERNANDO EMILIO,JVRE,28.0,  30047,Z13A   ,XX,entrada,2025-01-27 14:30:00
0000-00000455-A,2025-01-17 10:53:53,30427.0,LADERA HORTICOLA Y CIA,JVRE,76.0,  41323,Z13A   ,XX,entrada,2025-01-27 07:00:00
0000-00000458-A,2025-01-17 11:04:03,31127.0,RINCON AGROPECUARIO SA,JVR ,6.0,  41517,ZLV2   ,XX,entrada,2025-02-04 09:45:47
0000-00000458-A,2025-01-17 11:04:03,31127.0,RINCON AGROPECUARIO SA,JVR ,56.0,  41517,Z3E    ,XX,entrada,2025-01-20 14:56:23
0000-00000461-A,2025-01-17 11:13:57,31261.0,LADERA REAL Y CIA,JVRE,39.0,  40272,ZLV2   ,XX,entrada,2025-01-28 02:30:43
0000-00000461-A,2025-01-17 11:13:57,31261.0,LADERA REAL Y CIA,JVRE,17.0,  40272,ZLV2   ,XX,entrada,2025-01-28 02:30:43
0000-00000458-A,2025-01-17 11:04:03,31127.0,RINCON AGROPECUARIO SA,JVR ,5.0,  41517,ZJR    ,XX,entrada,2025-03-30 00:53:29
